pair_id,order,n,missing_asym_b_minus_a,count_a_ge2_rate,count_b_ge2_rate,a_present_rate,a_present_n,b_present_rate,b_present_n,merged_rate,merged_n,malformed_a_rate,malformed_a_n,malformed_b_rate,malformed_b_n,leak_a_to_b_rate,leak_a_to_b_n,leak_b_to_a_rate,leak_b_to_a_n
apple__pepper,0,10,0.0,0.2,0.4,1.0,10,1.0,10,0.3,10,0.0,10,0.0,10,0.0,7,0.0,7
apple__pepper,1,10,0.1,0.1111111111111111,0.0,0.9,10,0.8,10,0.2,10,0.0,10,0.0,10,0.0,6,0.0,6
apple__pumpkin,0,10,0.1,0.2,0.2222222222222222,1.0,10,0.9,10,0.1,10,0.0,10,0.0,10,0.0,9,0.0,9
apple__pumpkin,1,10,0.0,0.3,0.2,1.0,10,1.0,10,0.1,10,0.0,10,0.0,10,0.0,8,0.0,8
apple__strawberry,0,10,0.0,0.4,0.5,1.0,10,1.0,10,0.2,10,0.0,10,0.0,10,0.0,6,0.0,6
apple__strawberry,1,10,0.0,0.4444444444444444,0.4444444444444444,0.9,10,0.9,10,0.2,10,0.0,10,0.0,10,0.0,7,0.0,7
apple__tomato,0,10,0.0,0.3333333333333333,0.4444444444444444,0.9,10,0.9,10,0.1,10,0.0,10,0.0,10,0.0,8,0.0,8
apple__tomato,1,10,0.0,0.625,0.625,0.8888888888888888,9,0.8888888888888888,9,0.1111111111111111,9,0.0,9,0.0,9,0.0,7,0.0,7
apple__watermelon,0,10,0.0,0.42857142857142855,0.0,0.875,8,0.875,8,0.125,8,0.0,8,0.0,8,0.0,3,0.0,3
apple__watermelon,1,10,0.0,0.25,0.375,0.8888888888888888,9,0.8888888888888888,9,0.2222222222222222,9,0.0,9,0.0,9,0.0,6,0.0,6
bear__apple,0,10,0.0,0.2,0.0,1.0,10,1.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10
bear__apple,1,10,0.0,0.2222222222222222,0.3333333333333333,1.0,9,1.0,9,0.0,9,0.0,9,0.0,9,0.0,8,0.0,8
bear__orange,0,10,0.0,0.2222222222222222,0.5555555555555556,1.0,9,1.0,9,0.1111111111111111,9,0.0,9,0.0,9,0.0,8,0.0,8
bear__orange,1,10,0.0,0.2222222222222222,0.4444444444444444,1.0,9,1.0,9,0.1111111111111111,9,0.0,9,0.0,9,0.0,8,0.0,8
bear__panda,0,10,0.0,0.7777777777777778,0.6666666666666666,1.0,9,1.0,9,0.1111111111111111,9,0.0,9,0.0,9,0.0,8,0.0,8
bear__panda,1,10,0.0,0.8888888888888888,0.7777777777777778,0.9,10,0.9,10,0.1,10,0.0,10,0.0,10,0.0,8,0.0,8
bear__peach,0,10,0.0,0.2,0.4,1.0,10,1.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.1,10
bear__peach,1,10,0.0,0.25,0.5,0.8,10,0.8,10,0.1,10,0.0,10,0.0,10,0.0,6,0.16666666666666666,6
bear__pear,0,10,0.0,0.0,0.125,0.8888888888888888,9,0.8888888888888888,9,0.1111111111111111,9,0.0,9,0.0,9,0.0,7,0.0,7
bear__pear,1,10,0.0,0.25,0.0,0.8,10,0.8,10,0.1,10,0.0,10,0.0,10,0.0,7,0.0,7
bear__penguin,0,10,0.0,0.0,0.1,1.0,10,1.0,10,0.4,10,0.0,10,0.0,10,0.0,6,0.0,6
bear__penguin,1,10,0.1,0.0,0.0,1.0,10,0.9,10,0.2,10,0.0,10,0.0,10,0.0,6,0.0,6
bear__pepper,0,10,0.0,0.1111111111111111,0.1111111111111111,0.9,10,0.9,10,0.0,10,0.0,10,0.0,10,0.0,9,0.0,9
bear__pepper,1,10,0.0,0.0,0.1111111111111111,0.9,10,0.9,10,0.1,10,0.0,10,0.0,10,0.0,8,0.0,8
bear__strawberry,0,10,0.0,0.1111111111111111,0.7777777777777778,1.0,9,1.0,9,0.2222222222222222,9,0.0,9,0.0,9,0.0,7,0.0,7
