block,sae_seed,region_source,threshold,step_index,method,score,label,n,auc,ci025,ci975
11,42,attn,0.3,1,pre,rho_a,a_present,1682,0.6129533256931006,nan,nan
11,42,attn,0.3,1,pre,rho_b,b_present,1687,0.459315025745046,nan,nan
11,42,attn,0.3,1,pre,metric_leak_a_to_b,leak_a_to_b_label,1687,0.4698558689922046,nan,nan
11,42,attn,0.3,1,pre,metric_leak_b_to_a,leak_b_to_a_label,1682,0.6106472576790815,nan,nan
11,42,attn,0.3,1,raw,rho_a,a_present,1682,0.5369016977599088,nan,nan
11,42,attn,0.3,1,raw,rho_b,b_present,1687,0.4796997711551464,nan,nan
11,42,attn,0.3,1,raw,metric_leak_a_to_b,leak_a_to_b_label,1687,0.4705662423120782,nan,nan
11,42,attn,0.3,1,raw,metric_leak_b_to_a,leak_b_to_a_label,1682,0.6144285131433235,nan,nan
11,42,attn,0.3,1,topk,rho_a,a_present,1682,0.6125650515715708,nan,nan
11,42,attn,0.3,1,topk,rho_b,b_present,1687,0.46177250741145265,nan,nan
11,42,attn,0.3,1,topk,metric_leak_a_to_b,leak_a_to_b_label,1687,0.45862075411736114,nan,nan
11,42,attn,0.3,1,topk,metric_leak_b_to_a,leak_b_to_a_label,1682,0.6015911872705019,nan,nan
11,42,attn,0.3,4,pre,rho_a,a_present,1721,0.5332524618238904,nan,nan
11,42,attn,0.3,4,pre,rho_b,b_present,1767,0.46831095660513067,nan,nan
11,42,attn,0.3,4,pre,metric_leak_a_to_b,leak_a_to_b_label,1767,0.6245881770539936,nan,nan
11,42,attn,0.3,4,pre,metric_leak_b_to_a,leak_b_to_a_label,1721,0.6154998494429389,nan,nan
11,42,attn,0.3,4,raw,rho_a,a_present,1721,0.5064043099757386,nan,nan
11,42,attn,0.3,4,raw,rho_b,b_present,1767,0.44446175976983937,nan,nan
11,42,attn,0.3,4,raw,metric_leak_a_to_b,leak_a_to_b_label,1767,0.5476348986872877,nan,nan
11,42,attn,0.3,4,raw,metric_leak_b_to_a,leak_b_to_a_label,1721,0.6320686540198736,nan,nan
11,42,attn,0.3,4,topk,rho_a,a_present,1721,0.5300889586603872,nan,nan
11,42,attn,0.3,4,topk,rho_b,b_present,1767,0.4584901702229681,nan,nan
11,42,attn,0.3,4,topk,metric_leak_a_to_b,leak_a_to_b_label,1767,0.6059558559942644,nan,nan
11,42,attn,0.3,4,topk,metric_leak_b_to_a,leak_b_to_a_label,1721,0.617163504968383,nan,nan
11,42,attn,0.3,8,pre,rho_a,a_present,1776,0.5472794443623467,nan,nan
11,42,attn,0.3,8,pre,rho_b,b_present,1814,0.5197616772094242,nan,nan
11,42,attn,0.3,8,pre,metric_leak_a_to_b,leak_a_to_b_label,1814,0.603143358972806,nan,nan
11,42,attn,0.3,8,pre,metric_leak_b_to_a,leak_b_to_a_label,1776,0.6440910218253968,nan,nan
11,42,attn,0.3,8,raw,rho_a,a_present,1776,0.5397901581202896,nan,nan
11,42,attn,0.3,8,raw,rho_b,b_present,1814,0.45792113228896636,nan,nan
11,42,attn,0.3,8,raw,metric_leak_a_to_b,leak_a_to_b_label,1814,0.5501635273454061,nan,nan
11,42,attn,0.3,8,raw,metric_leak_b_to_a,leak_b_to_a_label,1776,0.6138826884920635,nan,nan
11,42,attn,0.3,8,topk,rho_a,a_present,1776,0.5241731934387469,nan,nan
11,42,attn,0.3,8,topk,rho_b,b_present,1814,0.5082994249695544,nan,nan
11,42,attn,0.3,8,topk,metric_leak_a_to_b,leak_a_to_b_label,1814,0.5943007691841803,nan,nan
11,42,attn,0.3,8,topk,metric_leak_b_to_a,leak_b_to_a_label,1776,0.639093501984127,nan,nan
11,42,attn,0.1,1,pre,rho_a,a_present,1682,0.6129533256931006,nan,nan
11,42,attn,0.1,1,pre,rho_b,b_present,1687,0.459315025745046,nan,nan
11,42,attn,0.1,1,pre,metric_leak_a_to_b,leak_a_to_b_label,1669,0.46392181326679144,nan,nan
11,42,attn,0.1,1,pre,metric_leak_b_to_a,leak_b_to_a_label,1682,0.6106472576790815,nan,nan
11,42,attn,0.1,1,raw,rho_a,a_present,1682,0.5369016977599088,nan,nan
11,42,attn,0.1,1,raw,rho_b,b_present,1687,0.4796997711551464,nan,nan
11,42,attn,0.1,1,raw,metric_leak_a_to_b,leak_a_to_b_label,1669,0.4659917956861188,nan,nan
11,42,attn,0.1,1,raw,metric_leak_b_to_a,leak_b_to_a_label,1682,0.6144285131433235,nan,nan
11,42,attn,0.1,1,topk,rho_a,a_present,1682,0.6125650515715708,nan,nan
11,42,attn,0.1,1,topk,rho_b,b_present,1687,0.46177250741145265,nan,nan
11,42,attn,0.1,1,topk,metric_leak_a_to_b,leak_a_to_b_label,1669,0.45255108792226695,nan,nan
11,42,attn,0.1,1,topk,metric_leak_b_to_a,leak_b_to_a_label,1682,0.6015911872705019,nan,nan
11,42,attn,0.1,4,pre,rho_a,a_present,1721,0.5332524618238904,nan,nan
11,42,attn,0.1,4,pre,rho_b,b_present,1767,0.46831095660513067,nan,nan
11,42,attn,0.1,4,pre,metric_leak_a_to_b,leak_a_to_b_label,1752,0.6217933813841742,nan,nan
11,42,attn,0.1,4,pre,metric_leak_b_to_a,leak_b_to_a_label,1721,0.6154998494429389,nan,nan
11,42,attn,0.1,4,raw,rho_a,a_present,1721,0.5064043099757386,nan,nan
11,42,attn,0.1,4,raw,rho_b,b_present,1767,0.44446175976983937,nan,nan
11,42,attn,0.1,4,raw,metric_leak_a_to_b,leak_a_to_b_label,1752,0.5450584274113686,nan,nan
11,42,attn,0.1,4,raw,metric_leak_b_to_a,leak_b_to_a_label,1721,0.6320686540198736,nan,nan
11,42,attn,0.1,4,topk,rho_a,a_present,1721,0.5300889586603872,nan,nan
11,42,attn,0.1,4,topk,rho_b,b_present,1767,0.4584901702229681,nan,nan
11,42,attn,0.1,4,topk,metric_leak_a_to_b,leak_a_to_b_label,1752,0.603244723449327,nan,nan
11,42,attn,0.1,4,topk,metric_leak_b_to_a,leak_b_to_a_label,1721,0.617163504968383,nan,nan
11,42,attn,0.1,8,pre,rho_a,a_present,1776,0.5472794443623467,nan,nan
11,42,attn,0.1,8,pre,rho_b,b_present,1814,0.5197616772094242,nan,nan
11,42,attn,0.1,8,pre,metric_leak_a_to_b,leak_a_to_b_label,1794,0.6011273819006189,nan,nan
11,42,attn,0.1,8,pre,metric_leak_b_to_a,leak_b_to_a_label,1776,0.6440910218253968,nan,nan
11,42,attn,0.1,8,raw,rho_a,a_present,1776,0.5397901581202896,nan,nan
11,42,attn,0.1,8,raw,rho_b,b_present,1814,0.45792113228896636,nan,nan
11,42,attn,0.1,8,raw,metric_leak_a_to_b,leak_a_to_b_label,1794,0.5482736964646774,nan,nan
11,42,attn,0.1,8,raw,metric_leak_b_to_a,leak_b_to_a_label,1776,0.6138826884920635,nan,nan
11,42,attn,0.1,8,topk,rho_a,a_present,1776,0.5241731934387469,nan,nan
11,42,attn,0.1,8,topk,rho_b,b_present,1814,0.5082994249695544,nan,nan
11,42,attn,0.1,8,topk,metric_leak_a_to_b,leak_a_to_b_label,1794,0.5925724526683414,nan,nan
11,42,attn,0.1,8,topk,metric_leak_b_to_a,leak_b_to_a_label,1776,0.639093501984127,nan,nan
11,42,attn,0.5,1,pre,rho_a,a_present,1682,0.6129533256931006,nan,nan
11,42,attn,0.5,1,pre,rho_b,b_present,1687,0.459315025745046,nan,nan
11,42,attn,0.5,1,pre,metric_leak_a_to_b,leak_a_to_b_label,1687,0.4698558689922046,nan,nan
11,42,attn,0.5,1,pre,metric_leak_b_to_a,leak_b_to_a_label,1682,0.6106472576790815,nan,nan
11,42,attn,0.5,1,raw,rho_a,a_present,1682,0.5369016977599088,nan,nan
11,42,attn,0.5,1,raw,rho_b,b_present,1687,0.4796997711551464,nan,nan
