block,sae_seed,region_source,threshold,step_index,method,metric,target,control,n,partial_pearson,partial_spearman
11,42,attn,0.3,1,pre,r,missing_asym_b_minus_a,order+attn2_projection:key:head_concat:b11,200,0.2352764866137244,0.17710483655470632
11,42,attn,0.3,1,pre,r,missing_asym_b_minus_a,order+attn2_projection:key:head_mean:b11,200,0.25860598504322957,0.20187486335641594
11,42,attn,0.3,1,pre,r,missing_asym_b_minus_a,order+attn2_projection:value:head_concat:b11,200,0.300261382956137,0.24402602476398158
11,42,attn,0.3,1,pre,r,missing_asym_b_minus_a,order+attn2_projection:value:head_mean:b11,200,0.302876455728413,0.24614851214929284
11,42,attn,0.3,1,pre,r,missing_asym_b_minus_a,order+caption_projection:projected:subword_mean,200,0.25621559787168224,0.19831851731175948
11,42,attn,0.3,1,pre,r,missing_asym_b_minus_a,order+t5_hidden:hidden:subword_mean,200,0.27507351273082037,0.20714044241899715
11,42,attn,0.3,1,pre,r,merged_rate,order+attn2_projection:key:head_concat:b11,200,0.004187751209473866,-0.006501512667419035
11,42,attn,0.3,1,pre,r,merged_rate,order+attn2_projection:key:head_mean:b11,200,0.023437485928450692,0.004224762627909838
11,42,attn,0.3,1,pre,r,merged_rate,order+attn2_projection:value:head_concat:b11,200,0.09040609068738928,0.05810315659988689
11,42,attn,0.3,1,pre,r,merged_rate,order+attn2_projection:value:head_mean:b11,200,0.08998509003893451,0.05795463134851773
11,42,attn,0.3,1,pre,r,merged_rate,order+caption_projection:projected:subword_mean,200,0.010787719393330012,-0.011327344912742038
11,42,attn,0.3,1,pre,r,merged_rate,order+t5_hidden:hidden:subword_mean,200,0.0553190720178121,0.030569531233976304
11,42,attn,0.3,1,pre,r,leak_a_to_b_rate,order+attn2_projection:key:head_concat:b11,199,0.094317022670781,0.07594229896910547
11,42,attn,0.3,1,pre,r,leak_a_to_b_rate,order+attn2_projection:key:head_mean:b11,199,0.10713527422208982,0.09328388014838936
11,42,attn,0.3,1,pre,r,leak_a_to_b_rate,order+attn2_projection:value:head_concat:b11,199,0.11514791951741458,0.10983574145399236
11,42,attn,0.3,1,pre,r,leak_a_to_b_rate,order+attn2_projection:value:head_mean:b11,199,0.11522477586157706,0.1098019491016717
11,42,attn,0.3,1,pre,r,leak_a_to_b_rate,order+caption_projection:projected:subword_mean,199,0.12040435107063052,0.10295436320301544
11,42,attn,0.3,1,pre,r,leak_a_to_b_rate,order+t5_hidden:hidden:subword_mean,199,0.11987232890675681,0.11082812176270351
11,42,attn,0.3,1,pre,r,leak_b_to_a_rate,order+attn2_projection:key:head_concat:b11,199,-0.09344172924429175,-0.0737413736613783
11,42,attn,0.3,1,pre,r,leak_b_to_a_rate,order+attn2_projection:key:head_mean:b11,199,-0.0774767732669573,-0.05108911692667257
11,42,attn,0.3,1,pre,r,leak_b_to_a_rate,order+attn2_projection:value:head_concat:b11,199,-0.04204470985726081,-0.0033542807691001766
11,42,attn,0.3,1,pre,r,leak_b_to_a_rate,order+attn2_projection:value:head_mean:b11,199,-0.04180651791646343,-0.002647421649397802
11,42,attn,0.3,1,pre,r,leak_b_to_a_rate,order+caption_projection:projected:subword_mean,199,-0.06069231260507662,-0.03708199914964965
11,42,attn,0.3,1,pre,r,leak_b_to_a_rate,order+t5_hidden:hidden:subword_mean,199,-0.04522585039748253,-0.038056803626365196
11,42,attn,0.3,1,pre,r,rho_a_mean,order+attn2_projection:key:head_concat:b11,180,-0.23283227295484218,-0.19736172887992148
11,42,attn,0.3,1,pre,r,rho_a_mean,order+attn2_projection:key:head_mean:b11,180,-0.22963617025668373,-0.19514884943855082
11,42,attn,0.3,1,pre,r,rho_a_mean,order+attn2_projection:value:head_concat:b11,180,-0.19418679999636074,-0.1486846925078843
11,42,attn,0.3,1,pre,r,rho_a_mean,order+attn2_projection:value:head_mean:b11,180,-0.19292032177022786,-0.14644620932150362
11,42,attn,0.3,1,pre,r,rho_a_mean,order+caption_projection:projected:subword_mean,180,-0.2744221988224605,-0.24031209097457776
11,42,attn,0.3,1,pre,r,rho_a_mean,order+t5_hidden:hidden:subword_mean,180,-0.2614616535979243,-0.21535550472049428
11,42,attn,0.3,1,pre,r,rho_b_mean,order+attn2_projection:key:head_concat:b11,183,0.46684438911035386,0.47364491456806557
11,42,attn,0.3,1,pre,r,rho_b_mean,order+attn2_projection:key:head_mean:b11,183,0.4888761806380261,0.4970817968372854
11,42,attn,0.3,1,pre,r,rho_b_mean,order+attn2_projection:value:head_concat:b11,183,0.5462933755241433,0.5591438571983065
11,42,attn,0.3,1,pre,r,rho_b_mean,order+attn2_projection:value:head_mean:b11,183,0.5473507470909394,0.5594614602599055
11,42,attn,0.3,1,pre,r,rho_b_mean,order+caption_projection:projected:subword_mean,183,0.5153065912667298,0.5348427857750059
11,42,attn,0.3,1,pre,r,rho_b_mean,order+t5_hidden:hidden:subword_mean,183,0.5186957706860624,0.52688814607697
11,42,attn,0.3,1,pre,r,metric_leak_a_to_b_mean,order+attn2_projection:key:head_concat:b11,183,-0.36029346868329704,-0.3751056442474219
11,42,attn,0.3,1,pre,r,metric_leak_a_to_b_mean,order+attn2_projection:key:head_mean:b11,183,-0.357557773447782,-0.37487284998126563
11,42,attn,0.3,1,pre,r,metric_leak_a_to_b_mean,order+attn2_projection:value:head_concat:b11,183,-0.3401081656862815,-0.3570967579533676
11,42,attn,0.3,1,pre,r,metric_leak_a_to_b_mean,order+attn2_projection:value:head_mean:b11,183,-0.3383342239442811,-0.3552066275795315
11,42,attn,0.3,1,pre,r,metric_leak_a_to_b_mean,order+caption_projection:projected:subword_mean,183,-0.39415110399367415,-0.41212971706817364
11,42,attn,0.3,1,pre,r,metric_leak_a_to_b_mean,order+t5_hidden:hidden:subword_mean,183,-0.39441657236907685,-0.4065906640249386
11,42,attn,0.3,1,pre,r,metric_leak_b_to_a_mean,order+attn2_projection:key:head_concat:b11,180,0.3764957968795658,0.36306708571805935
11,42,attn,0.3,1,pre,r,metric_leak_b_to_a_mean,order+attn2_projection:key:head_mean:b11,180,0.38105340826688905,0.37812672206435566
11,42,attn,0.3,1,pre,r,metric_leak_b_to_a_mean,order+attn2_projection:value:head_concat:b11,180,0.38469132716116405,0.3929448625025608
11,42,attn,0.3,1,pre,r,metric_leak_b_to_a_mean,order+attn2_projection:value:head_mean:b11,180,0.3822860626049702,0.39066309683810513
11,42,attn,0.3,1,pre,r,metric_leak_b_to_a_mean,order+caption_projection:projected:subword_mean,180,0.4315550759059354,0.4333101293075783
11,42,attn,0.3,1,pre,r,metric_leak_b_to_a_mean,order+t5_hidden:hidden:subword_mean,180,0.4234791264036398,0.4329633658792443
11,42,attn,0.3,1,pre,O,missing_asym_b_minus_a,order+attn2_projection:key:head_concat:b11,200,-0.15041160000264595,-0.1446072119061424
11,42,attn,0.3,1,pre,O,missing_asym_b_minus_a,order+attn2_projection:key:head_mean:b11,200,-0.11476726984449005,-0.10945825023015308
11,42,attn,0.3,1,pre,O,missing_asym_b_minus_a,order+attn2_projection:value:head_concat:b11,200,-0.017907628016185808,-0.03215529391712397
11,42,attn,0.3,1,pre,O,missing_asym_b_minus_a,order+attn2_projection:value:head_mean:b11,200,-0.01560238357091829,-0.030995517798162515
11,42,attn,0.3,1,pre,O,missing_asym_b_minus_a,order+caption_projection:projected:subword_mean,200,-0.07961959133528729,-0.08391940907462705
11,42,attn,0.3,1,pre,O,missing_asym_b_minus_a,order+t5_hidden:hidden:subword_mean,200,-0.050963986025898085,-0.06775294070539548
11,42,attn,0.3,1,pre,O,merged_rate,order+attn2_projection:key:head_concat:b11,200,-0.13728477525357982,-0.07408421527385264
11,42,attn,0.3,1,pre,O,merged_rate,order+attn2_projection:key:head_mean:b11,200,-0.12675279551855362,-0.0702176464356491
11,42,attn,0.3,1,pre,O,merged_rate,order+attn2_projection:value:head_concat:b11,200,-0.036279683658568616,-0.003275712263459416
11,42,attn,0.3,1,pre,O,merged_rate,order+attn2_projection:value:head_mean:b11,200,-0.03700604398279914,-0.003306002047538231
11,42,attn,0.3,1,pre,O,merged_rate,order+caption_projection:projected:subword_mean,200,-0.17451784621384134,-0.11423484114216124
11,42,attn,0.3,1,pre,O,merged_rate,order+t5_hidden:hidden:subword_mean,200,-0.09286375412003019,-0.050612877744303994
11,42,attn,0.3,1,pre,O,leak_a_to_b_rate,order+attn2_projection:key:head_concat:b11,199,0.07650800692090101,0.027106900729467146
11,42,attn,0.3,1,pre,O,leak_a_to_b_rate,order+attn2_projection:key:head_mean:b11,199,0.09104727390284435,0.04581328171829418
11,42,attn,0.3,1,pre,O,leak_a_to_b_rate,order+attn2_projection:value:head_concat:b11,199,0.1031471054309866,0.06809845860666491
11,42,attn,0.3,1,pre,O,leak_a_to_b_rate,order+attn2_projection:value:head_mean:b11,199,0.10339336751959373,0.06801202418059002
11,42,attn,0.3,1,pre,O,leak_a_to_b_rate,order+caption_projection:projected:subword_mean,199,0.1079507332692303,0.056973859495586796
11,42,attn,0.3,1,pre,O,leak_a_to_b_rate,order+t5_hidden:hidden:subword_mean,199,0.10759167548938989,0.06960113315472373
11,42,attn,0.3,1,pre,O,leak_b_to_a_rate,order+attn2_projection:key:head_concat:b11,199,0.047482916737615344,0.03880541430678362
11,42,attn,0.3,1,pre,O,leak_b_to_a_rate,order+attn2_projection:key:head_mean:b11,199,0.06067321727688703,0.06107642098801733
11,42,attn,0.3,1,pre,O,leak_b_to_a_rate,order+attn2_projection:value:head_concat:b11,199,0.11330727021212363,0.13067621714304767
11,42,attn,0.3,1,pre,O,leak_b_to_a_rate,order+attn2_projection:value:head_mean:b11,199,0.1140464009735184,0.13173012580367935
11,42,attn,0.3,1,pre,O,leak_b_to_a_rate,order+caption_projection:projected:subword_mean,199,0.06499094747042188,0.06661984866469386
11,42,attn,0.3,1,pre,O,leak_b_to_a_rate,order+t5_hidden:hidden:subword_mean,199,0.09396852273473227,0.0640482670021834
