pair,pair_id,entity_a,entity_b,stage,block,kind,aggregation,cosine
apple__pepper,apple__pepper,apple,pepper,t5_hidden,,hidden,subword_mean,0.3443731665611267
apple__pepper,apple__pepper,apple,pepper,caption_projection,,projected,subword_mean,0.34796884655952454
apple__pepper,apple__pepper,apple,pepper,attn2_projection,8,key,head_mean,0.8694525957107544
apple__pepper,apple__pepper,apple,pepper,attn2_projection,8,key,head_concat,0.9197095036506653
apple__pepper,apple__pepper,apple,pepper,attn2_projection,8,value,head_mean,0.38615816831588745
apple__pepper,apple__pepper,apple,pepper,attn2_projection,8,value,head_concat,0.3863913416862488
apple__pepper,apple__pepper,apple,pepper,attn2_projection,11,key,head_mean,0.8467128276824951
apple__pepper,apple__pepper,apple,pepper,attn2_projection,11,key,head_concat,0.9145970344543457
apple__pepper,apple__pepper,apple,pepper,attn2_projection,11,value,head_mean,0.36464744806289673
apple__pepper,apple__pepper,apple,pepper,attn2_projection,11,value,head_concat,0.36375075578689575
apple__pepper,apple__pepper,apple,pepper,attn2_projection,14,key,head_mean,0.8858642578125
apple__pepper,apple__pepper,apple,pepper,attn2_projection,14,key,head_concat,0.9576113820075989
apple__pepper,apple__pepper,apple,pepper,attn2_projection,14,value,head_mean,0.2516290545463562
apple__pepper,apple__pepper,apple,pepper,attn2_projection,14,value,head_concat,0.24999229609966278
apple__pepper,apple__pepper,apple,pepper,attn2_projection,17,key,head_mean,0.9475804567337036
apple__pepper,apple__pepper,apple,pepper,attn2_projection,17,key,head_concat,0.9740817546844482
apple__pepper,apple__pepper,apple,pepper,attn2_projection,17,value,head_mean,0.3814990520477295
apple__pepper,apple__pepper,apple,pepper,attn2_projection,17,value,head_concat,0.37024521827697754
apple__pepper,apple__pepper,apple,pepper,attn2_projection,20,key,head_mean,0.9837092161178589
apple__pepper,apple__pepper,apple,pepper,attn2_projection,20,key,head_concat,0.9930641651153564
apple__pepper,apple__pepper,apple,pepper,attn2_projection,20,value,head_mean,0.46471935510635376
apple__pepper,apple__pepper,apple,pepper,attn2_projection,20,value,head_concat,0.46443986892700195
apple__pepper,apple__pepper,apple,pepper,attn2_projection,23,key,head_mean,0.9855239391326904
apple__pepper,apple__pepper,apple,pepper,attn2_projection,23,key,head_concat,0.9951870441436768
apple__pepper,apple__pepper,apple,pepper,attn2_projection,23,value,head_mean,0.3980686366558075
apple__pepper,apple__pepper,apple,pepper,attn2_projection,23,value,head_concat,0.3804345726966858
apple__pumpkin,apple__pumpkin,apple,pumpkin,t5_hidden,,hidden,subword_mean,0.34718137979507446
apple__pumpkin,apple__pumpkin,apple,pumpkin,caption_projection,,projected,subword_mean,0.39168575406074524
apple__pumpkin,apple__pumpkin,apple,pumpkin,attn2_projection,8,key,head_mean,0.8666227459907532
apple__pumpkin,apple__pumpkin,apple,pumpkin,attn2_projection,8,key,head_concat,0.9185435175895691
apple__pumpkin,apple__pumpkin,apple,pumpkin,attn2_projection,8,value,head_mean,0.4190630316734314
